[13:37:29.167] Namespace(base_lr=0.01, batch_size=8, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_soft_sigma=0.3, cmc_warmup_iter=2000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=1.0, consistency_rampup=40.0, deterministic=1, exp='BCP_CMC_NA_v2_s0.3_smoke', gpu='1', labeled_bs=4, labelnum=4, loss_weight=0.5, magnitude=10.0, mask_ratio=0.6666666666666666, max_samples=80, model='VNet', pre_max_iteration=100, root_path='/home/hjj/ssq/BCP_original/data_split/LA', seed=1337, self_max_iteration=300, u_alpha=2.0, u_weight=0.5)
[13:50:16.846] Namespace(base_lr=0.01, batch_size=8, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_soft_sigma=0.3, cmc_warmup_iter=2000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=1.0, consistency_rampup=40.0, deterministic=1, exp='BCP_CMC_NA_v2_s0.3_smoke', gpu='1', labeled_bs=4, labelnum=4, loss_weight=0.5, magnitude=10.0, mask_ratio=0.6666666666666666, max_samples=80, model='VNet', pre_max_iteration=100, root_path='/home/hjj/ssq/BCP_original/data_split/LA', seed=1337, self_max_iteration=300, u_alpha=2.0, u_weight=0.5)
[13:50:17.399] Start self_training (BCP + NA-CMC V2 Soft Mask 3D)
[13:50:17.400] soft_sigma=0.3 → avg_pool3d 核 5px
[13:50:17.409] 1 iterations per epoch
[13:50:22.532] iteration 1 : loss: 1.201311, bcp: 1.201311, cmc: 0.182366, shared: 0.40, conf_t: 0.90
[13:50:27.405] iteration 2 : loss: 1.121119, bcp: 1.121032, cmc: 0.174022, shared: 0.40, conf_t: 0.90
[13:50:32.363] iteration 3 : loss: 1.194771, bcp: 1.194574, cmc: 0.197316, shared: 0.40, conf_t: 0.90
[13:50:37.903] iteration 4 : loss: 1.285466, bcp: 1.285282, cmc: 0.122689, shared: 0.40, conf_t: 0.90
[13:50:42.750] iteration 5 : loss: 1.070233, bcp: 1.069965, cmc: 0.133695, shared: 0.40, conf_t: 0.90
[13:50:47.898] iteration 6 : loss: 0.972024, bcp: 0.971634, cmc: 0.155923, shared: 0.40, conf_t: 0.90
[13:50:53.005] iteration 7 : loss: 1.120595, bcp: 1.120165, cmc: 0.143413, shared: 0.40, conf_t: 0.90
[13:50:58.236] iteration 8 : loss: 1.073917, bcp: 1.073370, cmc: 0.156244, shared: 0.40, conf_t: 0.90
[13:51:03.153] iteration 9 : loss: 1.117495, bcp: 1.116782, cmc: 0.178200, shared: 0.40, conf_t: 0.89
[13:51:08.439] iteration 10 : loss: 1.095693, bcp: 1.095281, cmc: 0.091647, shared: 0.40, conf_t: 0.89
[13:51:13.082] iteration 11 : loss: 1.151942, bcp: 1.151479, cmc: 0.092738, shared: 0.40, conf_t: 0.89
[13:51:18.171] iteration 12 : loss: 1.123098, bcp: 1.122206, cmc: 0.162223, shared: 0.40, conf_t: 0.89
[13:51:23.164] iteration 13 : loss: 1.026876, bcp: 1.026392, cmc: 0.080663, shared: 0.40, conf_t: 0.89
[13:51:27.900] iteration 14 : loss: 1.035721, bcp: 1.034750, cmc: 0.149394, shared: 0.40, conf_t: 0.89
