Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_attention_ps8', gpu='0', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices: 1312, labeled: 136
Start pre_training
22 iters/epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iter 1: loss:2.386269 dice:1.732175 ce:3.040362
iter 2: loss:2.204738 dice:1.632821 ce:2.776655
iter 3: loss:1.964134 dice:1.607064 ce:2.321204
iter 4: loss:1.639988 dice:1.534303 ce:1.745674
iter 5: loss:1.331600 dice:1.436200 ce:1.227000
iter 6: loss:1.119603 dice:1.395834 ce:0.843372
iter 7: loss:1.062080 dice:1.400275 ce:0.723884
iter 8: loss:0.863323 dice:1.352684 ce:0.373963
iter 9: loss:0.907509 dice:1.353681 ce:0.461336
iter 10: loss:0.888113 dice:1.364712 ce:0.411514
iter 11: loss:0.902806 dice:1.394526 ce:0.411086
iter 12: loss:0.949211 dice:1.386975 ce:0.511447
iter 13: loss:0.889753 dice:1.434479 ce:0.345026
iter 14: loss:0.845374 dice:1.329600 ce:0.361148
iter 15: loss:0.841323 dice:1.376068 ce:0.306578
iter 16: loss:0.921280 dice:1.457759 ce:0.384802
iter 17: loss:0.971454 dice:1.382211 ce:0.560697
iter 18: loss:1.061012 dice:1.398123 ce:0.723902
iter 19: loss:0.908226 dice:1.361431 ce:0.455021
iter 20: loss:1.038574 dice:1.489992 ce:0.587155
iter 21: loss:0.863953 dice:1.334678 ce:0.393228
iter 22: loss:0.771003 dice:1.298613 ce:0.243394
  0%|                                 | 1/455 [00:02<19:22,  2.56s/it]iter 23: loss:0.839368 dice:1.420261 ce:0.258475
iter 24: loss:0.847239 dice:1.365416 ce:0.329063
iter 25: loss:0.893874 dice:1.414676 ce:0.373072
iter 26: loss:0.893409 dice:1.424276 ce:0.362542
iter 27: loss:0.829960 dice:1.300607 ce:0.359313
iter 28: loss:1.029165 dice:1.448843 ce:0.609486
iter 29: loss:0.921377 dice:1.253028 ce:0.589726
iter 30: loss:0.842033 dice:1.302205 ce:0.381861
iter 31: loss:0.982698 dice:1.452266 ce:0.513130
iter 32: loss:0.895990 dice:1.316823 ce:0.475158
iter 33: loss:0.832917 dice:1.352128 ce:0.313707
iter 34: loss:1.021555 dice:1.456675 ce:0.586435
iter 35: loss:0.932367 dice:1.371203 ce:0.493532
iter 36: loss:0.897133 dice:1.389433 ce:0.404834
iter 37: loss:0.981933 dice:1.439686 ce:0.524180
iter 38: loss:0.855420 dice:1.366996 ce:0.343844
iter 39: loss:0.805215 dice:1.339291 ce:0.271139
iter 40: loss:0.972308 dice:1.399783 ce:0.544832
iter 41: loss:0.908609 dice:1.298232 ce:0.518986
iter 42: loss:0.872390 dice:1.385803 ce:0.358976
iter 43: loss:1.037451 dice:1.467702 ce:0.607199
iter 44: loss:0.945524 dice:1.456520 ce:0.434528
  0%|▏                                | 2/455 [00:04<15:09,  2.01s/it]iter 45: loss:0.819432 dice:1.323630 ce:0.315235
iter 46: loss:0.961368 dice:1.394466 ce:0.528270
iter 47: loss:0.877086 dice:1.355868 ce:0.398303
iter 48: loss:0.831163 dice:1.405425 ce:0.256902
iter 49: loss:0.753894 dice:1.215351 ce:0.292436
iter 50: loss:0.925229 dice:1.353623 ce:0.496836
iter 51: loss:0.815080 dice:1.334083 ce:0.296078
iter 52: loss:0.909327 dice:1.446095 ce:0.372559
iter 53: loss:0.839483 dice:1.325366 ce:0.353601
iter 54: loss:0.810636 dice:1.275860 ce:0.345412
iter 55: loss:0.933206 dice:1.382390 ce:0.484022
iter 56: loss:0.913983 dice:1.378433 ce:0.449532
iter 57: loss:0.959942 dice:1.506024 ce:0.413859
iter 58: loss:0.889487 dice:1.406377 ce:0.372597
iter 59: loss:0.858349 dice:1.353930 ce:0.362768
iter 60: loss:0.884791 dice:1.410708 ce:0.358874
iter 61: loss:0.837482 dice:1.423338 ce:0.251625
iter 62: loss:0.842583 dice:1.340448 ce:0.344718
iter 63: loss:0.919929 dice:1.448804 ce:0.391054
iter 64: loss:0.852854 dice:1.386608 ce:0.319101
iter 65: loss:0.866839 dice:1.363678 ce:0.370000
iter 66: loss:0.833049 dice:1.321986 ce:0.344112
  1%|▏                                | 3/455 [00:06<15:55,  2.11s/it]iter 67: loss:0.831240 dice:1.322744 ce:0.339736
iter 68: loss:0.904111 dice:1.344828 ce:0.463393
iter 69: loss:0.865245 dice:1.346226 ce:0.384263
iter 70: loss:0.888832 dice:1.440570 ce:0.337095
iter 71: loss:0.870522 dice:1.391072 ce:0.349972
iter 72: loss:0.926679 dice:1.412673 ce:0.440686
iter 73: loss:0.897965 dice:1.419023 ce:0.376907
iter 74: loss:0.854171 dice:1.421510 ce:0.286833
iter 75: loss:0.810832 dice:1.359332 ce:0.262332
iter 76: loss:0.859662 dice:1.350677 ce:0.368647
iter 77: loss:0.750575 dice:1.283840 ce:0.217309
iter 78: loss:0.871646 dice:1.356070 ce:0.387223
iter 79: loss:0.745034 dice:1.273078 ce:0.216990
iter 80: loss:0.925935 dice:1.340178 ce:0.511693
iter 81: loss:0.837989 dice:1.411225 ce:0.264754
iter 82: loss:0.737830 dice:1.261216 ce:0.214445
