Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_min_class_ratio=0.3, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_classbal_ps8', gpu='0', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269, mix_dice: 1.732175, mix_ce: 3.040362
iteration 2: loss: 2.204738, mix_dice: 1.632821, mix_ce: 2.776655
iteration 3: loss: 1.964134, mix_dice: 1.607064, mix_ce: 2.321204
iteration 4: loss: 1.639988, mix_dice: 1.534303, mix_ce: 1.745673
iteration 5: loss: 1.331598, mix_dice: 1.436199, mix_ce: 1.226996
iteration 6: loss: 1.119605, mix_dice: 1.395838, mix_ce: 0.843372
iteration 7: loss: 1.062081, mix_dice: 1.400289, mix_ce: 0.723874
iteration 8: loss: 0.863308, mix_dice: 1.352679, mix_ce: 0.373937
iteration 9: loss: 0.907516, mix_dice: 1.353665, mix_ce: 0.461367
iteration 10: loss: 0.888111, mix_dice: 1.364697, mix_ce: 0.411525
iteration 11: loss: 0.902790, mix_dice: 1.394569, mix_ce: 0.411011
iteration 12: loss: 0.949136, mix_dice: 1.386946, mix_ce: 0.511326
iteration 13: loss: 0.889716, mix_dice: 1.434471, mix_ce: 0.344960
iteration 14: loss: 0.845191, mix_dice: 1.329343, mix_ce: 0.361039
iteration 15: loss: 0.841086, mix_dice: 1.375789, mix_ce: 0.306382
iteration 16: loss: 0.921122, mix_dice: 1.457681, mix_ce: 0.384563
iteration 17: loss: 0.971544, mix_dice: 1.382307, mix_ce: 0.560781
iteration 18: loss: 1.061016, mix_dice: 1.398258, mix_ce: 0.723774
iteration 19: loss: 0.908500, mix_dice: 1.361558, mix_ce: 0.455442
iteration 20: loss: 1.039160, mix_dice: 1.490299, mix_ce: 0.588022
iteration 21: loss: 0.863795, mix_dice: 1.334503, mix_ce: 0.393086
iteration 22: loss: 0.770692, mix_dice: 1.298013, mix_ce: 0.243370
  0%|                                 | 1/455 [00:02<17:51,  2.36s/it]iteration 23: loss: 0.839719, mix_dice: 1.420280, mix_ce: 0.259157
iteration 24: loss: 0.847493, mix_dice: 1.365896, mix_ce: 0.329091
iteration 25: loss: 0.894102, mix_dice: 1.414856, mix_ce: 0.373348
iteration 26: loss: 0.892639, mix_dice: 1.424108, mix_ce: 0.361171
iteration 27: loss: 0.830435, mix_dice: 1.302320, mix_ce: 0.358551
iteration 28: loss: 1.030798, mix_dice: 1.449863, mix_ce: 0.611734
iteration 29: loss: 0.922278, mix_dice: 1.254177, mix_ce: 0.590378
iteration 30: loss: 0.841863, mix_dice: 1.301167, mix_ce: 0.382559
iteration 31: loss: 0.982628, mix_dice: 1.451544, mix_ce: 0.513712
iteration 32: loss: 0.896122, mix_dice: 1.315813, mix_ce: 0.476431
iteration 33: loss: 0.831619, mix_dice: 1.351139, mix_ce: 0.312098
iteration 34: loss: 1.020970, mix_dice: 1.457858, mix_ce: 0.584081
iteration 35: loss: 0.931797, mix_dice: 1.373620, mix_ce: 0.489974
iteration 36: loss: 0.901576, mix_dice: 1.394296, mix_ce: 0.408857
iteration 37: loss: 0.987967, mix_dice: 1.448211, mix_ce: 0.527722
iteration 38: loss: 0.852748, mix_dice: 1.365640, mix_ce: 0.339855
iteration 39: loss: 0.809283, mix_dice: 1.342396, mix_ce: 0.276170
iteration 40: loss: 0.976029, mix_dice: 1.402418, mix_ce: 0.549641
iteration 41: loss: 0.912726, mix_dice: 1.293354, mix_ce: 0.532099
iteration 42: loss: 0.876723, mix_dice: 1.384383, mix_ce: 0.369064
iteration 43: loss: 1.041865, mix_dice: 1.464348, mix_ce: 0.619382
iteration 44: loss: 0.949762, mix_dice: 1.455195, mix_ce: 0.444329
  0%|▏                                | 2/455 [00:03<14:14,  1.89s/it]iteration 45: loss: 0.820762, mix_dice: 1.315414, mix_ce: 0.326111
iteration 46: loss: 0.968306, mix_dice: 1.387027, mix_ce: 0.549586
iteration 47: loss: 0.877095, mix_dice: 1.355726, mix_ce: 0.398464
iteration 48: loss: 0.831813, mix_dice: 1.412125, mix_ce: 0.251501
iteration 49: loss: 0.755653, mix_dice: 1.225917, mix_ce: 0.285389
iteration 50: loss: 0.930785, mix_dice: 1.363060, mix_ce: 0.498509
iteration 51: loss: 0.811171, mix_dice: 1.341856, mix_ce: 0.280486
iteration 52: loss: 0.911558, mix_dice: 1.452137, mix_ce: 0.370978
iteration 53: loss: 0.839188, mix_dice: 1.327827, mix_ce: 0.350549
iteration 54: loss: 0.818488, mix_dice: 1.279660, mix_ce: 0.357317
iteration 55: loss: 0.930109, mix_dice: 1.365061, mix_ce: 0.495156
iteration 56: loss: 0.911969, mix_dice: 1.369993, mix_ce: 0.453946
iteration 57: loss: 0.965181, mix_dice: 1.507645, mix_ce: 0.422717
iteration 58: loss: 0.883590, mix_dice: 1.393662, mix_ce: 0.373518
iteration 59: loss: 0.848837, mix_dice: 1.335088, mix_ce: 0.362586
iteration 60: loss: 0.891549, mix_dice: 1.408631, mix_ce: 0.374467
iteration 61: loss: 0.850276, mix_dice: 1.432321, mix_ce: 0.268231
iteration 62: loss: 0.837060, mix_dice: 1.329164, mix_ce: 0.344956
iteration 63: loss: 0.938757, mix_dice: 1.463919, mix_ce: 0.413594
iteration 64: loss: 0.858883, mix_dice: 1.394955, mix_ce: 0.322811
iteration 65: loss: 0.866924, mix_dice: 1.361540, mix_ce: 0.372308
iteration 66: loss: 0.837662, mix_dice: 1.326055, mix_ce: 0.349269
  1%|▏                                | 3/455 [00:05<13:46,  1.83s/it]iteration 67: loss: 0.836028, mix_dice: 1.335334, mix_ce: 0.336721
iteration 68: loss: 0.915614, mix_dice: 1.360257, mix_ce: 0.470972
iteration 69: loss: 0.873228, mix_dice: 1.363611, mix_ce: 0.382845
iteration 70: loss: 0.885169, mix_dice: 1.441863, mix_ce: 0.328475
iteration 71: loss: 0.877890, mix_dice: 1.405795, mix_ce: 0.349985
iteration 72: loss: 0.920902, mix_dice: 1.421129, mix_ce: 0.420676
iteration 73: loss: 0.888674, mix_dice: 1.417006, mix_ce: 0.360343
iteration 74: loss: 0.860330, mix_dice: 1.440044, mix_ce: 0.280615
iteration 75: loss: 0.848011, mix_dice: 1.401960, mix_ce: 0.294063
iteration 76: loss: 0.843611, mix_dice: 1.329382, mix_ce: 0.357840
iteration 77: loss: 0.747055, mix_dice: 1.264687, mix_ce: 0.229422
iteration 78: loss: 0.868601, mix_dice: 1.347498, mix_ce: 0.389704
iteration 79: loss: 0.742064, mix_dice: 1.274335, mix_ce: 0.209794
iteration 80: loss: 0.925270, mix_dice: 1.349062, mix_ce: 0.501478
iteration 81: loss: 0.844825, mix_dice: 1.423370, mix_ce: 0.266280
iteration 82: loss: 0.738033, mix_dice: 1.267747, mix_ce: 0.208319
iteration 83: loss: 0.845606, mix_dice: 1.273246, mix_ce: 0.417967
iteration 84: loss: 0.773941, mix_dice: 1.244650, mix_ce: 0.303232
iteration 85: loss: 0.783588, mix_dice: 1.260270, mix_ce: 0.306906
iteration 86: loss: 0.772891, mix_dice: 1.311212, mix_ce: 0.234569
iteration 87: loss: 0.975539, mix_dice: 1.481004, mix_ce: 0.470074
iteration 88: loss: 0.928703, mix_dice: 1.372191, mix_ce: 0.485214
  1%|▎                                | 4/455 [00:07<12:57,  1.72s/it]iteration 89: loss: 0.825643, mix_dice: 1.297004, mix_ce: 0.354282
iteration 90: loss: 0.943985, mix_dice: 1.411676, mix_ce: 0.476294
iteration 91: loss: 0.894667, mix_dice: 1.343161, mix_ce: 0.446173
iteration 92: loss: 0.958707, mix_dice: 1.454669, mix_ce: 0.462745
iteration 93: loss: 0.891318, mix_dice: 1.398530, mix_ce: 0.384105
iteration 94: loss: 0.770355, mix_dice: 1.266264, mix_ce: 0.274445
iteration 95: loss: 0.918838, mix_dice: 1.386965, mix_ce: 0.450711
iteration 96: loss: 0.854474, mix_dice: 1.322933, mix_ce: 0.386015
iteration 97: loss: 0.859261, mix_dice: 1.310938, mix_ce: 0.407584
iteration 98: loss: 0.852159, mix_dice: 1.331141, mix_ce: 0.373176
iteration 99: loss: 0.870321, mix_dice: 1.342672, mix_ce: 0.397971
iteration 100: loss: 0.858329, mix_dice: 1.349240, mix_ce: 0.367419
iteration 101: loss: 0.904730, mix_dice: 1.341641, mix_ce: 0.467818
iteration 102: loss: 0.914965, mix_dice: 1.401479, mix_ce: 0.428451
iteration 103: loss: 0.831748, mix_dice: 1.355262, mix_ce: 0.308235
iteration 104: loss: 0.869180, mix_dice: 1.329558, mix_ce: 0.408803
iteration 105: loss: 0.946926, mix_dice: 1.501624, mix_ce: 0.392228
iteration 106: loss: 0.827848, mix_dice: 1.324129, mix_ce: 0.331566
iteration 107: loss: 0.820700, mix_dice: 1.310358, mix_ce: 0.331042
iteration 108: loss: 0.810627, mix_dice: 1.345193, mix_ce: 0.276061
iteration 109: loss: 0.935095, mix_dice: 1.474964, mix_ce: 0.395226
iteration 110: loss: 0.853204, mix_dice: 1.352001, mix_ce: 0.354408
  1%|▎                                | 5/455 [00:09<13:14,  1.77s/it]iteration 111: loss: 0.965229, mix_dice: 1.426396, mix_ce: 0.504061
iteration 112: loss: 0.867595, mix_dice: 1.473330, mix_ce: 0.261859
iteration 113: loss: 0.819295, mix_dice: 1.370770, mix_ce: 0.267820
iteration 114: loss: 0.863554, mix_dice: 1.362136, mix_ce: 0.364973
iteration 115: loss: 0.832640, mix_dice: 1.409174, mix_ce: 0.256106
iteration 116: loss: 0.912796, mix_dice: 1.395668, mix_ce: 0.429924
iteration 117: loss: 0.900618, mix_dice: 1.387064, mix_ce: 0.414171
iteration 118: loss: 0.826968, mix_dice: 1.332552, mix_ce: 0.321384
iteration 119: loss: 0.827298, mix_dice: 1.376548, mix_ce: 0.278049
iteration 120: loss: 0.797029, mix_dice: 1.301049, mix_ce: 0.293009
iteration 121: loss: 0.840722, mix_dice: 1.398336, mix_ce: 0.283108
iteration 122: loss: 1.024784, mix_dice: 1.421320, mix_ce: 0.628247
iteration 123: loss: 0.853983, mix_dice: 1.391987, mix_ce: 0.315979
