Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.1, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw01_ps8', gpu='1', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316460
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360626, mix_dice: 1.432737, mix_ce: 1.288516
iteration 6: loss: 1.167702, mix_dice: 1.394647, mix_ce: 0.940758
iteration 7: loss: 0.994727, mix_dice: 1.363494, mix_ce: 0.625960
iteration 8: loss: 0.925228, mix_dice: 1.386592, mix_ce: 0.463865
iteration 9: loss: 0.994966, mix_dice: 1.409467, mix_ce: 0.580466
iteration 10: loss: 0.974935, mix_dice: 1.424333, mix_ce: 0.525537
iteration 11: loss: 0.867243, mix_dice: 1.398252, mix_ce: 0.336233
  0%|                                 | 1/910 [00:02<32:08,  2.12s/it]iteration 12: loss: 0.933031, mix_dice: 1.418402, mix_ce: 0.447660
iteration 13: loss: 0.912840, mix_dice: 1.376482, mix_ce: 0.449198
iteration 14: loss: 0.871642, mix_dice: 1.384664, mix_ce: 0.358621
iteration 15: loss: 0.869252, mix_dice: 1.383792, mix_ce: 0.354712
iteration 16: loss: 0.904135, mix_dice: 1.387960, mix_ce: 0.420311
iteration 17: loss: 0.903437, mix_dice: 1.391097, mix_ce: 0.415777
iteration 18: loss: 0.878478, mix_dice: 1.369346, mix_ce: 0.387609
iteration 19: loss: 0.977500, mix_dice: 1.422186, mix_ce: 0.532814
iteration 20: loss: 0.870376, mix_dice: 1.381138, mix_ce: 0.359613
iteration 21: loss: 0.953476, mix_dice: 1.394713, mix_ce: 0.512240
iteration 22: loss: 0.877280, mix_dice: 1.396210, mix_ce: 0.358351
  0%|                                 | 2/910 [00:03<23:46,  1.57s/it]iteration 23: loss: 0.894540, mix_dice: 1.366878, mix_ce: 0.422203
iteration 24: loss: 0.930083, mix_dice: 1.386766, mix_ce: 0.473400
iteration 25: loss: 0.910937, mix_dice: 1.393793, mix_ce: 0.428080
iteration 26: loss: 0.907854, mix_dice: 1.405530, mix_ce: 0.410178
iteration 27: loss: 0.895610, mix_dice: 1.294812, mix_ce: 0.496407
iteration 28: loss: 0.968213, mix_dice: 1.361936, mix_ce: 0.574489
iteration 29: loss: 0.847176, mix_dice: 1.372496, mix_ce: 0.321856
iteration 30: loss: 0.842536, mix_dice: 1.312561, mix_ce: 0.372512
iteration 31: loss: 0.779899, mix_dice: 1.312578, mix_ce: 0.247220
iteration 32: loss: 0.908591, mix_dice: 1.436583, mix_ce: 0.380599
iteration 33: loss: 0.885083, mix_dice: 1.421067, mix_ce: 0.349100
  0%|                                 | 3/910 [00:04<23:36,  1.56s/it]iteration 34: loss: 0.900304, mix_dice: 1.443604, mix_ce: 0.357005
iteration 35: loss: 0.940010, mix_dice: 1.357459, mix_ce: 0.522561
iteration 36: loss: 0.866935, mix_dice: 1.348120, mix_ce: 0.385750
iteration 37: loss: 0.832906, mix_dice: 1.331103, mix_ce: 0.334708
iteration 38: loss: 0.942445, mix_dice: 1.327179, mix_ce: 0.557711
iteration 39: loss: 0.914426, mix_dice: 1.324249, mix_ce: 0.504602
iteration 40: loss: 0.945227, mix_dice: 1.398333, mix_ce: 0.492120
iteration 41: loss: 1.083995, mix_dice: 1.380327, mix_ce: 0.787664
iteration 42: loss: 0.902703, mix_dice: 1.334866, mix_ce: 0.470540
iteration 43: loss: 0.836948, mix_dice: 1.335516, mix_ce: 0.338379
iteration 44: loss: 0.876538, mix_dice: 1.356215, mix_ce: 0.396862
  0%|▏                                | 4/910 [00:06<23:15,  1.54s/it]iteration 45: loss: 0.862763, mix_dice: 1.290683, mix_ce: 0.434843
iteration 46: loss: 0.923656, mix_dice: 1.383866, mix_ce: 0.463445
iteration 47: loss: 0.923214, mix_dice: 1.394386, mix_ce: 0.452042
iteration 48: loss: 0.905790, mix_dice: 1.360647, mix_ce: 0.450932
iteration 49: loss: 0.926856, mix_dice: 1.319351, mix_ce: 0.534361
iteration 50: loss: 0.859536, mix_dice: 1.358801, mix_ce: 0.360270
iteration 51: loss: 0.854607, mix_dice: 1.326374, mix_ce: 0.382841
iteration 52: loss: 0.839518, mix_dice: 1.315056, mix_ce: 0.363980
iteration 53: loss: 0.849096, mix_dice: 1.323010, mix_ce: 0.375181
iteration 54: loss: 0.862172, mix_dice: 1.332027, mix_ce: 0.392317
iteration 55: loss: 0.910380, mix_dice: 1.395521, mix_ce: 0.425238
  1%|▏                                | 5/910 [00:07<20:27,  1.36s/it]iteration 56: loss: 0.827812, mix_dice: 1.264239, mix_ce: 0.391384
iteration 57: loss: 0.823448, mix_dice: 1.306847, mix_ce: 0.340049
iteration 58: loss: 0.861362, mix_dice: 1.407801, mix_ce: 0.314924
iteration 59: loss: 0.809029, mix_dice: 1.315885, mix_ce: 0.302172
iteration 60: loss: 0.876456, mix_dice: 1.369509, mix_ce: 0.383403
iteration 61: loss: 0.867931, mix_dice: 1.342210, mix_ce: 0.393652
iteration 62: loss: 0.909395, mix_dice: 1.344454, mix_ce: 0.474336
iteration 63: loss: 0.842896, mix_dice: 1.326134, mix_ce: 0.359657
iteration 64: loss: 0.791207, mix_dice: 1.281876, mix_ce: 0.300538
iteration 65: loss: 0.818950, mix_dice: 1.310886, mix_ce: 0.327014
iteration 66: loss: 0.802853, mix_dice: 1.239201, mix_ce: 0.366505
  1%|▏                                | 6/910 [00:08<19:27,  1.29s/it]iteration 67: loss: 0.818683, mix_dice: 1.339550, mix_ce: 0.297816
iteration 68: loss: 0.795031, mix_dice: 1.269377, mix_ce: 0.320685
iteration 69: loss: 0.801210, mix_dice: 1.292585, mix_ce: 0.309834
iteration 70: loss: 0.880894, mix_dice: 1.321510, mix_ce: 0.440279
iteration 71: loss: 0.781788, mix_dice: 1.279864, mix_ce: 0.283712
iteration 72: loss: 0.847312, mix_dice: 1.356708, mix_ce: 0.337917
iteration 73: loss: 0.880898, mix_dice: 1.379812, mix_ce: 0.381984
iteration 74: loss: 0.835187, mix_dice: 1.338733, mix_ce: 0.331641
iteration 75: loss: 0.889645, mix_dice: 1.408542, mix_ce: 0.370749
iteration 76: loss: 0.816297, mix_dice: 1.354672, mix_ce: 0.277922
iteration 77: loss: 0.855728, mix_dice: 1.383514, mix_ce: 0.327942
  1%|▎                                | 7/910 [00:10<20:09,  1.34s/it]iteration 78: loss: 0.818803, mix_dice: 1.320343, mix_ce: 0.317262
iteration 79: loss: 0.881407, mix_dice: 1.347861, mix_ce: 0.414953
iteration 80: loss: 0.790469, mix_dice: 1.295506, mix_ce: 0.285431
iteration 81: loss: 0.819334, mix_dice: 1.319489, mix_ce: 0.319180
iteration 82: loss: 0.837610, mix_dice: 1.277935, mix_ce: 0.397284
iteration 83: loss: 0.839050, mix_dice: 1.320117, mix_ce: 0.357982
iteration 84: loss: 0.774473, mix_dice: 1.274499, mix_ce: 0.274446
iteration 85: loss: 0.875905, mix_dice: 1.366954, mix_ce: 0.384856
iteration 86: loss: 0.788551, mix_dice: 1.223723, mix_ce: 0.353380
iteration 87: loss: 0.839740, mix_dice: 1.427907, mix_ce: 0.251573
iteration 88: loss: 0.848759, mix_dice: 1.339556, mix_ce: 0.357962
  1%|▎                                | 8/910 [00:11<20:33,  1.37s/it]iteration 89: loss: 0.940157, mix_dice: 1.393531, mix_ce: 0.486783
iteration 90: loss: 0.797848, mix_dice: 1.266200, mix_ce: 0.329497
iteration 91: loss: 0.832274, mix_dice: 1.279428, mix_ce: 0.385120
iteration 92: loss: 0.764457, mix_dice: 1.260427, mix_ce: 0.268487
iteration 93: loss: 0.799107, mix_dice: 1.293923, mix_ce: 0.304290
