Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_kernel_size=3, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.6, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw06_ps8_conv3', gpu='0', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316460
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360628, mix_dice: 1.432737, mix_ce: 1.288518
iteration 6: loss: 1.167705, mix_dice: 1.394648, mix_ce: 0.940761
iteration 7: loss: 0.994732, mix_dice: 1.363501, mix_ce: 0.625964
iteration 8: loss: 0.925234, mix_dice: 1.386600, mix_ce: 0.463868
iteration 9: loss: 0.994977, mix_dice: 1.409476, mix_ce: 0.580477
iteration 10: loss: 0.974956, mix_dice: 1.424333, mix_ce: 0.525578
iteration 11: loss: 0.867246, mix_dice: 1.398233, mix_ce: 0.336259
  0%|                                 | 1/910 [00:03<57:05,  3.77s/it]iteration 12: loss: 0.933006, mix_dice: 1.418329, mix_ce: 0.447684
iteration 13: loss: 0.912838, mix_dice: 1.376461, mix_ce: 0.449215
iteration 14: loss: 0.871593, mix_dice: 1.384629, mix_ce: 0.358557
iteration 15: loss: 0.869186, mix_dice: 1.383756, mix_ce: 0.354616
iteration 16: loss: 0.904164, mix_dice: 1.388028, mix_ce: 0.420299
iteration 17: loss: 0.903427, mix_dice: 1.391161, mix_ce: 0.415694
iteration 18: loss: 0.878422, mix_dice: 1.369266, mix_ce: 0.387579
iteration 19: loss: 0.977388, mix_dice: 1.422167, mix_ce: 0.532609
iteration 20: loss: 0.870224, mix_dice: 1.380986, mix_ce: 0.359461
iteration 21: loss: 0.953518, mix_dice: 1.394805, mix_ce: 0.512232
iteration 22: loss: 0.877295, mix_dice: 1.396281, mix_ce: 0.358309
  0%|                                 | 2/910 [00:05<38:07,  2.52s/it]iteration 23: loss: 0.894758, mix_dice: 1.367379, mix_ce: 0.422137
iteration 24: loss: 0.929928, mix_dice: 1.386649, mix_ce: 0.473208
iteration 25: loss: 0.911188, mix_dice: 1.394183, mix_ce: 0.428194
iteration 26: loss: 0.908449, mix_dice: 1.405758, mix_ce: 0.411140
iteration 27: loss: 0.897186, mix_dice: 1.295963, mix_ce: 0.498409
iteration 28: loss: 0.966505, mix_dice: 1.360568, mix_ce: 0.572442
iteration 29: loss: 0.846624, mix_dice: 1.372168, mix_ce: 0.321081
iteration 30: loss: 0.841880, mix_dice: 1.312681, mix_ce: 0.371079
iteration 31: loss: 0.779442, mix_dice: 1.311584, mix_ce: 0.247299
iteration 32: loss: 0.911246, mix_dice: 1.439101, mix_ce: 0.383392
iteration 33: loss: 0.885230, mix_dice: 1.417420, mix_ce: 0.353041
  0%|                                 | 3/910 [00:06<30:45,  2.03s/it]iteration 34: loss: 0.899999, mix_dice: 1.442344, mix_ce: 0.357654
iteration 35: loss: 0.938360, mix_dice: 1.356423, mix_ce: 0.520298
iteration 36: loss: 0.861730, mix_dice: 1.341770, mix_ce: 0.381690
iteration 37: loss: 0.833152, mix_dice: 1.330240, mix_ce: 0.336065
iteration 38: loss: 0.940595, mix_dice: 1.326365, mix_ce: 0.554825
iteration 39: loss: 0.913750, mix_dice: 1.326724, mix_ce: 0.500776
iteration 40: loss: 0.941404, mix_dice: 1.399243, mix_ce: 0.483564
iteration 41: loss: 1.071302, mix_dice: 1.377769, mix_ce: 0.764836
iteration 42: loss: 0.910520, mix_dice: 1.351265, mix_ce: 0.469776
iteration 43: loss: 0.845039, mix_dice: 1.350826, mix_ce: 0.339253
iteration 44: loss: 0.878062, mix_dice: 1.366968, mix_ce: 0.389156
  0%|▏                                | 4/910 [00:08<27:15,  1.81s/it]iteration 45: loss: 0.857096, mix_dice: 1.290921, mix_ce: 0.423270
iteration 46: loss: 0.918721, mix_dice: 1.379794, mix_ce: 0.457649
iteration 47: loss: 0.927592, mix_dice: 1.389861, mix_ce: 0.465323
iteration 48: loss: 0.910623, mix_dice: 1.348202, mix_ce: 0.473044
iteration 49: loss: 0.922787, mix_dice: 1.298157, mix_ce: 0.547416
iteration 50: loss: 0.867499, mix_dice: 1.359940, mix_ce: 0.375058
iteration 51: loss: 0.860138, mix_dice: 1.328329, mix_ce: 0.391948
iteration 52: loss: 0.836732, mix_dice: 1.318377, mix_ce: 0.355087
iteration 53: loss: 0.843750, mix_dice: 1.322603, mix_ce: 0.364896
iteration 54: loss: 0.859591, mix_dice: 1.335026, mix_ce: 0.384156
iteration 55: loss: 0.905357, mix_dice: 1.396431, mix_ce: 0.414282
  1%|▏                                | 5/910 [00:09<25:43,  1.71s/it]iteration 56: loss: 0.832559, mix_dice: 1.272055, mix_ce: 0.393063
iteration 57: loss: 0.824652, mix_dice: 1.310883, mix_ce: 0.338421
iteration 58: loss: 0.856689, mix_dice: 1.396004, mix_ce: 0.317373
iteration 59: loss: 0.810946, mix_dice: 1.314838, mix_ce: 0.307054
iteration 60: loss: 0.882363, mix_dice: 1.367186, mix_ce: 0.397541
iteration 61: loss: 0.862217, mix_dice: 1.333929, mix_ce: 0.390505
iteration 62: loss: 0.917700, mix_dice: 1.344141, mix_ce: 0.491260
iteration 63: loss: 0.847921, mix_dice: 1.331370, mix_ce: 0.364471
iteration 64: loss: 0.781570, mix_dice: 1.269493, mix_ce: 0.293647
iteration 65: loss: 0.825518, mix_dice: 1.326610, mix_ce: 0.324425
iteration 66: loss: 0.833441, mix_dice: 1.282162, mix_ce: 0.384720
  1%|▏                                | 6/910 [00:11<24:44,  1.64s/it]iteration 67: loss: 0.829464, mix_dice: 1.359710, mix_ce: 0.299217
iteration 68: loss: 0.796646, mix_dice: 1.274834, mix_ce: 0.318459
iteration 69: loss: 0.811217, mix_dice: 1.299928, mix_ce: 0.322506
iteration 70: loss: 0.877259, mix_dice: 1.321136, mix_ce: 0.433382
iteration 71: loss: 0.788302, mix_dice: 1.284789, mix_ce: 0.291816
iteration 72: loss: 0.846006, mix_dice: 1.355150, mix_ce: 0.336861
iteration 73: loss: 0.885030, mix_dice: 1.377348, mix_ce: 0.392713
iteration 74: loss: 0.838555, mix_dice: 1.332655, mix_ce: 0.344454
iteration 75: loss: 0.879600, mix_dice: 1.391422, mix_ce: 0.367778
iteration 76: loss: 0.841615, mix_dice: 1.374074, mix_ce: 0.309156
iteration 77: loss: 0.841895, mix_dice: 1.368241, mix_ce: 0.315550
  1%|▎                                | 7/910 [00:13<24:39,  1.64s/it]iteration 78: loss: 0.833714, mix_dice: 1.336561, mix_ce: 0.330867
iteration 79: loss: 0.885323, mix_dice: 1.381708, mix_ce: 0.388937
iteration 80: loss: 0.803579, mix_dice: 1.306809, mix_ce: 0.300349
iteration 81: loss: 0.809890, mix_dice: 1.309469, mix_ce: 0.310311
iteration 82: loss: 0.846721, mix_dice: 1.298759, mix_ce: 0.394683
iteration 83: loss: 0.838803, mix_dice: 1.319909, mix_ce: 0.357697
iteration 84: loss: 0.775160, mix_dice: 1.280512, mix_ce: 0.269808
iteration 85: loss: 0.882965, mix_dice: 1.384225, mix_ce: 0.381705
iteration 86: loss: 0.776744, mix_dice: 1.215586, mix_ce: 0.337903
iteration 87: loss: 0.833345, mix_dice: 1.403435, mix_ce: 0.263256
iteration 88: loss: 0.845434, mix_dice: 1.319177, mix_ce: 0.371691
  1%|▎                                | 8/910 [00:14<24:27,  1.63s/it]iteration 89: loss: 0.925922, mix_dice: 1.365989, mix_ce: 0.485855
iteration 90: loss: 0.799569, mix_dice: 1.239092, mix_ce: 0.360045
iteration 91: loss: 0.869843, mix_dice: 1.297215, mix_ce: 0.442470
iteration 92: loss: 0.787206, mix_dice: 1.268748, mix_ce: 0.305665
