Namespace(base_lr=0.01, batch_size=12, cmc_border_width=1, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v1_bw1_bs12', gpu='3', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269, mix_dice: 1.732175, mix_ce: 3.040362
iteration 2: loss: 2.204738, mix_dice: 1.632821, mix_ce: 2.776655
iteration 3: loss: 1.964134, mix_dice: 1.607064, mix_ce: 2.321204
iteration 4: loss: 1.639988, mix_dice: 1.534303, mix_ce: 1.745673
iteration 5: loss: 1.331597, mix_dice: 1.436199, mix_ce: 1.226996
iteration 6: loss: 1.119603, mix_dice: 1.395839, mix_ce: 0.843368
iteration 7: loss: 1.062079, mix_dice: 1.400288, mix_ce: 0.723870
iteration 8: loss: 0.863311, mix_dice: 1.352681, mix_ce: 0.373941
iteration 9: loss: 0.907506, mix_dice: 1.353660, mix_ce: 0.461353
iteration 10: loss: 0.888124, mix_dice: 1.364686, mix_ce: 0.411561
iteration 11: loss: 0.902811, mix_dice: 1.394587, mix_ce: 0.411035
iteration 12: loss: 0.949127, mix_dice: 1.386899, mix_ce: 0.511354
iteration 13: loss: 0.889687, mix_dice: 1.434410, mix_ce: 0.344964
iteration 14: loss: 0.845161, mix_dice: 1.329327, mix_ce: 0.360995
iteration 15: loss: 0.841078, mix_dice: 1.375803, mix_ce: 0.306353
iteration 16: loss: 0.921274, mix_dice: 1.457684, mix_ce: 0.384864
iteration 17: loss: 0.971135, mix_dice: 1.381797, mix_ce: 0.560473
iteration 18: loss: 1.060857, mix_dice: 1.397812, mix_ce: 0.723902
iteration 19: loss: 0.908689, mix_dice: 1.361734, mix_ce: 0.455645
iteration 20: loss: 1.038599, mix_dice: 1.490023, mix_ce: 0.587175
iteration 21: loss: 0.864455, mix_dice: 1.335258, mix_ce: 0.393651
iteration 22: loss: 0.770731, mix_dice: 1.298309, mix_ce: 0.243152
  0%|                                 | 1/455 [00:03<27:04,  3.58s/it]iteration 23: loss: 0.840030, mix_dice: 1.420604, mix_ce: 0.259456
iteration 24: loss: 0.847260, mix_dice: 1.364753, mix_ce: 0.329766
iteration 25: loss: 0.893043, mix_dice: 1.413212, mix_ce: 0.372875
iteration 26: loss: 0.893332, mix_dice: 1.423369, mix_ce: 0.363295
iteration 27: loss: 0.829465, mix_dice: 1.300317, mix_ce: 0.358613
iteration 28: loss: 1.027538, mix_dice: 1.449476, mix_ce: 0.605600
iteration 29: loss: 0.920962, mix_dice: 1.255031, mix_ce: 0.586893
iteration 30: loss: 0.842450, mix_dice: 1.302849, mix_ce: 0.382050
iteration 31: loss: 0.982046, mix_dice: 1.452291, mix_ce: 0.511801
iteration 32: loss: 0.898149, mix_dice: 1.317624, mix_ce: 0.478674
iteration 33: loss: 0.834414, mix_dice: 1.353501, mix_ce: 0.315326
iteration 34: loss: 1.021987, mix_dice: 1.458357, mix_ce: 0.585617
iteration 35: loss: 0.932402, mix_dice: 1.371913, mix_ce: 0.492892
iteration 36: loss: 0.901808, mix_dice: 1.391853, mix_ce: 0.411764
iteration 37: loss: 0.987919, mix_dice: 1.446470, mix_ce: 0.529368
iteration 38: loss: 0.852332, mix_dice: 1.363057, mix_ce: 0.341607
iteration 39: loss: 0.810129, mix_dice: 1.342309, mix_ce: 0.277948
iteration 40: loss: 0.980847, mix_dice: 1.407120, mix_ce: 0.554574
iteration 41: loss: 0.923110, mix_dice: 1.298582, mix_ce: 0.547639
iteration 42: loss: 0.878013, mix_dice: 1.385589, mix_ce: 0.370436
iteration 43: loss: 1.051667, mix_dice: 1.464061, mix_ce: 0.639274
iteration 44: loss: 0.946466, mix_dice: 1.458143, mix_ce: 0.434789
  0%|▏                                | 2/455 [00:05<19:51,  2.63s/it]iteration 45: loss: 0.821690, mix_dice: 1.325541, mix_ce: 0.317839
iteration 46: loss: 0.957887, mix_dice: 1.390935, mix_ce: 0.524839
iteration 47: loss: 0.892564, mix_dice: 1.377788, mix_ce: 0.407341
iteration 48: loss: 0.831209, mix_dice: 1.418083, mix_ce: 0.244335
iteration 49: loss: 0.768482, mix_dice: 1.245423, mix_ce: 0.291542
iteration 50: loss: 0.925607, mix_dice: 1.356909, mix_ce: 0.494305
iteration 51: loss: 0.809652, mix_dice: 1.331259, mix_ce: 0.288045
iteration 52: loss: 0.878028, mix_dice: 1.429117, mix_ce: 0.326938
iteration 53: loss: 0.855221, mix_dice: 1.340487, mix_ce: 0.369954
iteration 54: loss: 0.812185, mix_dice: 1.276805, mix_ce: 0.347565
iteration 55: loss: 0.934301, mix_dice: 1.389867, mix_ce: 0.478736
iteration 56: loss: 0.925176, mix_dice: 1.403308, mix_ce: 0.447045
iteration 57: loss: 0.954518, mix_dice: 1.505487, mix_ce: 0.403548
iteration 58: loss: 0.867862, mix_dice: 1.373724, mix_ce: 0.362000
iteration 59: loss: 0.855656, mix_dice: 1.336142, mix_ce: 0.375170
iteration 60: loss: 0.889821, mix_dice: 1.403076, mix_ce: 0.376565
iteration 61: loss: 0.865511, mix_dice: 1.424197, mix_ce: 0.306825
iteration 62: loss: 0.829704, mix_dice: 1.309408, mix_ce: 0.349999
iteration 63: loss: 0.940546, mix_dice: 1.454715, mix_ce: 0.426377
iteration 64: loss: 0.863080, mix_dice: 1.389159, mix_ce: 0.337001
iteration 65: loss: 0.909817, mix_dice: 1.410050, mix_ce: 0.409583
iteration 66: loss: 0.843651, mix_dice: 1.324733, mix_ce: 0.362568
  1%|▏                                | 3/455 [00:07<15:52,  2.11s/it]iteration 67: loss: 0.844918, mix_dice: 1.340032, mix_ce: 0.349804
iteration 68: loss: 0.910957, mix_dice: 1.358951, mix_ce: 0.462962
iteration 69: loss: 0.859318, mix_dice: 1.326429, mix_ce: 0.392206
iteration 70: loss: 0.885085, mix_dice: 1.421200, mix_ce: 0.348971
iteration 71: loss: 0.868714, mix_dice: 1.380030, mix_ce: 0.357399
iteration 72: loss: 0.941103, mix_dice: 1.428579, mix_ce: 0.453627
iteration 73: loss: 0.907808, mix_dice: 1.436354, mix_ce: 0.379262
iteration 74: loss: 0.861037, mix_dice: 1.444782, mix_ce: 0.277292
iteration 75: loss: 0.866695, mix_dice: 1.434953, mix_ce: 0.298437
iteration 76: loss: 0.936311, mix_dice: 1.420089, mix_ce: 0.452534
iteration 77: loss: 0.782033, mix_dice: 1.321961, mix_ce: 0.242105
iteration 78: loss: 0.846938, mix_dice: 1.321436, mix_ce: 0.372440
iteration 79: loss: 0.766577, mix_dice: 1.314245, mix_ce: 0.218910
iteration 80: loss: 0.974497, mix_dice: 1.376012, mix_ce: 0.572982
iteration 81: loss: 0.870466, mix_dice: 1.434641, mix_ce: 0.306292
iteration 82: loss: 0.752532, mix_dice: 1.263799, mix_ce: 0.241264
iteration 83: loss: 0.853855, mix_dice: 1.274212, mix_ce: 0.433497
iteration 84: loss: 0.796830, mix_dice: 1.255681, mix_ce: 0.337979
iteration 85: loss: 0.784227, mix_dice: 1.253850, mix_ce: 0.314604
iteration 86: loss: 0.788109, mix_dice: 1.314224, mix_ce: 0.261994
iteration 87: loss: 0.975097, mix_dice: 1.474652, mix_ce: 0.475541
iteration 88: loss: 0.940163, mix_dice: 1.385118, mix_ce: 0.495208
  1%|▎                                | 4/455 [00:08<14:58,  1.99s/it]iteration 89: loss: 0.835976, mix_dice: 1.315405, mix_ce: 0.356547
iteration 90: loss: 0.918759, mix_dice: 1.415884, mix_ce: 0.421635
iteration 91: loss: 0.919767, mix_dice: 1.383948, mix_ce: 0.455587
iteration 92: loss: 0.938149, mix_dice: 1.453775, mix_ce: 0.422523
iteration 93: loss: 0.866036, mix_dice: 1.384013, mix_ce: 0.348059
iteration 94: loss: 0.797340, mix_dice: 1.315424, mix_ce: 0.279257
iteration 95: loss: 0.945999, mix_dice: 1.412240, mix_ce: 0.479757
iteration 96: loss: 0.865043, mix_dice: 1.342166, mix_ce: 0.387919
iteration 97: loss: 0.892935, mix_dice: 1.337907, mix_ce: 0.447963
iteration 98: loss: 0.843322, mix_dice: 1.326469, mix_ce: 0.360174
iteration 99: loss: 0.891301, mix_dice: 1.354652, mix_ce: 0.427949
iteration 100: loss: 0.892711, mix_dice: 1.371299, mix_ce: 0.414122
iteration 101: loss: 0.889396, mix_dice: 1.330300, mix_ce: 0.448491
iteration 102: loss: 0.891036, mix_dice: 1.364236, mix_ce: 0.417837
iteration 103: loss: 0.864909, mix_dice: 1.380710, mix_ce: 0.349109
iteration 104: loss: 0.902579, mix_dice: 1.339595, mix_ce: 0.465563
iteration 105: loss: 0.945587, mix_dice: 1.500299, mix_ce: 0.390874
iteration 106: loss: 0.826560, mix_dice: 1.326326, mix_ce: 0.326793
iteration 107: loss: 0.845534, mix_dice: 1.340944, mix_ce: 0.350124
iteration 108: loss: 0.827238, mix_dice: 1.365577, mix_ce: 0.288898
iteration 109: loss: 0.974708, mix_dice: 1.479033, mix_ce: 0.470383
iteration 110: loss: 0.858313, mix_dice: 1.360427, mix_ce: 0.356199
  1%|▎                                | 5/455 [00:11<15:25,  2.06s/it]iteration 111: loss: 0.972239, mix_dice: 1.425745, mix_ce: 0.518733
iteration 112: loss: 0.871995, mix_dice: 1.467546, mix_ce: 0.276445
iteration 113: loss: 0.820630, mix_dice: 1.366021, mix_ce: 0.275239
iteration 114: loss: 0.850515, mix_dice: 1.349045, mix_ce: 0.351985
iteration 115: loss: 0.820311, mix_dice: 1.385522, mix_ce: 0.255099
iteration 116: loss: 0.881729, mix_dice: 1.363922, mix_ce: 0.399536
iteration 117: loss: 0.902039, mix_dice: 1.385671, mix_ce: 0.418408
iteration 118: loss: 0.831697, mix_dice: 1.338975, mix_ce: 0.324418
iteration 119: loss: 0.836197, mix_dice: 1.391319, mix_ce: 0.281075
iteration 120: loss: 0.816944, mix_dice: 1.326535, mix_ce: 0.307353
iteration 121: loss: 0.831918, mix_dice: 1.388254, mix_ce: 0.275581
iteration 122: loss: 1.030345, mix_dice: 1.432492, mix_ce: 0.628199
iteration 123: loss: 0.877492, mix_dice: 1.399425, mix_ce: 0.355559
