============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
iteration 2: loss: 2.204738
iteration 3: loss: 1.964134
iteration 4: loss: 1.639988
iteration 5: loss: 1.331595
iteration 6: loss: 1.119596
iteration 7: loss: 1.062074
iteration 8: loss: 0.863333
iteration 9: loss: 0.907534
iteration 10: loss: 0.888126
iteration 11: loss: 0.902818
iteration 12: loss: 0.949250
iteration 13: loss: 0.889754
iteration 14: loss: 0.845116
iteration 15: loss: 0.841207
iteration 16: loss: 0.921120
iteration 17: loss: 0.971014
iteration 18: loss: 1.060688
iteration 19: loss: 0.908952
iteration 20: loss: 1.039250
iteration 21: loss: 0.863561
iteration 22: loss: 0.770461
  0%|                                 | 1/455 [00:03<23:06,  3.05s/it]iteration 23: loss: 0.839461
iteration 24: loss: 0.847493
iteration 25: loss: 0.894514
iteration 26: loss: 0.892928
iteration 27: loss: 0.829046
iteration 28: loss: 1.030884
iteration 29: loss: 0.921086
iteration 30: loss: 0.840377
iteration 31: loss: 0.981393
iteration 32: loss: 0.897892
iteration 33: loss: 0.829282
iteration 34: loss: 1.018875
iteration 35: loss: 0.929953
iteration 36: loss: 0.899676
iteration 37: loss: 0.988108
iteration 38: loss: 0.849920
iteration 39: loss: 0.806755
iteration 40: loss: 0.974599
iteration 41: loss: 0.925278
iteration 42: loss: 0.875847
iteration 43: loss: 1.058242
iteration 44: loss: 0.942535
  0%|▏                                | 2/455 [00:05<18:58,  2.51s/it]iteration 45: loss: 0.824326
iteration 46: loss: 0.972860
iteration 47: loss: 0.899212
iteration 48: loss: 0.833854
iteration 49: loss: 0.766932
iteration 50: loss: 0.917648
iteration 51: loss: 0.807472
iteration 52: loss: 0.886546
iteration 53: loss: 0.846667
iteration 54: loss: 0.813731
iteration 55: loss: 0.936716
iteration 56: loss: 0.928381
iteration 57: loss: 0.967806
iteration 58: loss: 0.867540
iteration 59: loss: 0.854863
iteration 60: loss: 0.887082
iteration 61: loss: 0.866309
iteration 62: loss: 0.841887
iteration 63: loss: 0.915940
iteration 64: loss: 0.851188
iteration 65: loss: 0.877475
iteration 66: loss: 0.830677
  1%|▏                                | 3/455 [00:06<16:30,  2.19s/it]iteration 67: loss: 0.800709
iteration 68: loss: 0.902668
iteration 69: loss: 0.927208
