Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.3, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='ACDC_BCP_CMC_v1_mutual_mw03', gpu='0', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316461
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288517
iteration 6: loss: 1.167704, mix_dice: 1.394648, mix_ce: 0.940760
iteration 7: loss: 0.994727, mix_dice: 1.363492, mix_ce: 0.625962
iteration 8: loss: 0.925227, mix_dice: 1.386589, mix_ce: 0.463865
iteration 9: loss: 0.994956, mix_dice: 1.409460, mix_ce: 0.580453
iteration 10: loss: 0.974943, mix_dice: 1.424329, mix_ce: 0.525557
iteration 11: loss: 0.867269, mix_dice: 1.398245, mix_ce: 0.336294
  0%|                                 | 1/910 [00:02<43:32,  2.87s/it]iteration 12: loss: 0.932957, mix_dice: 1.418199, mix_ce: 0.447715
iteration 13: loss: 0.912832, mix_dice: 1.376381, mix_ce: 0.449282
iteration 14: loss: 0.871583, mix_dice: 1.384598, mix_ce: 0.358568
iteration 15: loss: 0.869185, mix_dice: 1.383875, mix_ce: 0.354496
iteration 16: loss: 0.904080, mix_dice: 1.388063, mix_ce: 0.420097
iteration 17: loss: 0.903472, mix_dice: 1.391220, mix_ce: 0.415724
iteration 18: loss: 0.878865, mix_dice: 1.369799, mix_ce: 0.387930
iteration 19: loss: 0.977469, mix_dice: 1.422101, mix_ce: 0.532837
iteration 20: loss: 0.870481, mix_dice: 1.380970, mix_ce: 0.359992
iteration 21: loss: 0.953336, mix_dice: 1.394154, mix_ce: 0.512518
iteration 22: loss: 0.877505, mix_dice: 1.396259, mix_ce: 0.358751
  0%|                                 | 2/910 [00:04<30:28,  2.01s/it]iteration 23: loss: 0.894971, mix_dice: 1.367000, mix_ce: 0.422942
iteration 24: loss: 0.930321, mix_dice: 1.386982, mix_ce: 0.473660
