Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw05', gpu='3', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316460
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288517
iteration 6: loss: 1.167702, mix_dice: 1.394645, mix_ce: 0.940759
iteration 7: loss: 0.994730, mix_dice: 1.363497, mix_ce: 0.625964
iteration 8: loss: 0.925235, mix_dice: 1.386607, mix_ce: 0.463862
iteration 9: loss: 0.994968, mix_dice: 1.409480, mix_ce: 0.580455
iteration 10: loss: 0.974934, mix_dice: 1.424335, mix_ce: 0.525533
iteration 11: loss: 0.867223, mix_dice: 1.398231, mix_ce: 0.336215
  0%|                                 | 1/910 [00:02<31:08,  2.06s/it]iteration 12: loss: 0.933073, mix_dice: 1.418434, mix_ce: 0.447713
iteration 13: loss: 0.912885, mix_dice: 1.376549, mix_ce: 0.449222
iteration 14: loss: 0.871597, mix_dice: 1.384643, mix_ce: 0.358550
iteration 15: loss: 0.869161, mix_dice: 1.383698, mix_ce: 0.354623
iteration 16: loss: 0.904242, mix_dice: 1.388071, mix_ce: 0.420412
iteration 17: loss: 0.903573, mix_dice: 1.391309, mix_ce: 0.415837
iteration 18: loss: 0.878238, mix_dice: 1.369193, mix_ce: 0.387283
iteration 19: loss: 0.977467, mix_dice: 1.422372, mix_ce: 0.532562
iteration 20: loss: 0.870193, mix_dice: 1.381262, mix_ce: 0.359123
iteration 21: loss: 0.953766, mix_dice: 1.395143, mix_ce: 0.512389
iteration 22: loss: 0.877001, mix_dice: 1.396308, mix_ce: 0.357694
  0%|                                 | 2/910 [00:03<26:41,  1.76s/it]iteration 23: loss: 0.894877, mix_dice: 1.368272, mix_ce: 0.421482
iteration 24: loss: 0.930045, mix_dice: 1.386635, mix_ce: 0.473455
iteration 25: loss: 0.911536, mix_dice: 1.393947, mix_ce: 0.429125
iteration 26: loss: 0.908349, mix_dice: 1.405598, mix_ce: 0.411100
iteration 27: loss: 0.897446, mix_dice: 1.295661, mix_ce: 0.499231
iteration 28: loss: 0.968071, mix_dice: 1.361647, mix_ce: 0.574495
iteration 29: loss: 0.847157, mix_dice: 1.372391, mix_ce: 0.321924
iteration 30: loss: 0.841856, mix_dice: 1.312181, mix_ce: 0.371531
iteration 31: loss: 0.778706, mix_dice: 1.311190, mix_ce: 0.246222
iteration 32: loss: 0.909825, mix_dice: 1.439072, mix_ce: 0.380578
iteration 33: loss: 0.896333, mix_dice: 1.425558, mix_ce: 0.367108
  0%|                                 | 3/910 [00:04<21:35,  1.43s/it]iteration 34: loss: 0.898519, mix_dice: 1.441510, mix_ce: 0.355528
iteration 35: loss: 0.935945, mix_dice: 1.356509, mix_ce: 0.515380
iteration 36: loss: 0.862941, mix_dice: 1.344078, mix_ce: 0.381804
iteration 37: loss: 0.829733, mix_dice: 1.328150, mix_ce: 0.331316
iteration 38: loss: 0.940510, mix_dice: 1.323979, mix_ce: 0.557042
iteration 39: loss: 0.913211, mix_dice: 1.324090, mix_ce: 0.502331
iteration 40: loss: 0.938197, mix_dice: 1.396926, mix_ce: 0.479469
iteration 41: loss: 1.071802, mix_dice: 1.383267, mix_ce: 0.760338
iteration 42: loss: 0.926569, mix_dice: 1.368946, mix_ce: 0.484193
iteration 43: loss: 0.857740, mix_dice: 1.362913, mix_ce: 0.352567
iteration 44: loss: 0.874783, mix_dice: 1.358482, mix_ce: 0.391084
  0%|▏                                | 4/910 [00:05<20:20,  1.35s/it]iteration 45: loss: 0.863249, mix_dice: 1.287693, mix_ce: 0.438804
iteration 46: loss: 0.929613, mix_dice: 1.382802, mix_ce: 0.476424
iteration 47: loss: 0.930359, mix_dice: 1.390182, mix_ce: 0.470536
iteration 48: loss: 0.893195, mix_dice: 1.347907, mix_ce: 0.438484
iteration 49: loss: 0.914603, mix_dice: 1.302729, mix_ce: 0.526477
iteration 50: loss: 0.863718, mix_dice: 1.359958, mix_ce: 0.367477
iteration 51: loss: 0.863994, mix_dice: 1.334343, mix_ce: 0.393645
iteration 52: loss: 0.838483, mix_dice: 1.323501, mix_ce: 0.353465
iteration 53: loss: 0.846234, mix_dice: 1.322680, mix_ce: 0.369787
iteration 54: loss: 0.855526, mix_dice: 1.330646, mix_ce: 0.380406
iteration 55: loss: 0.906782, mix_dice: 1.395370, mix_ce: 0.418194
  1%|▏                                | 5/910 [00:07<21:13,  1.41s/it]iteration 56: loss: 0.831992, mix_dice: 1.274266, mix_ce: 0.389717
iteration 57: loss: 0.841031, mix_dice: 1.320973, mix_ce: 0.361089
iteration 58: loss: 0.851833, mix_dice: 1.391243, mix_ce: 0.312423
iteration 59: loss: 0.801891, mix_dice: 1.305077, mix_ce: 0.298704
iteration 60: loss: 0.888482, mix_dice: 1.367563, mix_ce: 0.409401
iteration 61: loss: 0.859471, mix_dice: 1.332667, mix_ce: 0.386275
iteration 62: loss: 0.912714, mix_dice: 1.353560, mix_ce: 0.471869
iteration 63: loss: 0.840199, mix_dice: 1.318100, mix_ce: 0.362299
iteration 64: loss: 0.781374, mix_dice: 1.267857, mix_ce: 0.294891
iteration 65: loss: 0.811264, mix_dice: 1.300207, mix_ce: 0.322320
iteration 66: loss: 0.805068, mix_dice: 1.247610, mix_ce: 0.362526
  1%|▏                                | 6/910 [00:08<20:03,  1.33s/it]iteration 67: loss: 0.825785, mix_dice: 1.351281, mix_ce: 0.300289
iteration 68: loss: 0.794509, mix_dice: 1.275131, mix_ce: 0.313887
iteration 69: loss: 0.809519, mix_dice: 1.302832, mix_ce: 0.316205
iteration 70: loss: 0.864381, mix_dice: 1.315400, mix_ce: 0.413363
iteration 71: loss: 0.770175, mix_dice: 1.274195, mix_ce: 0.266154
iteration 72: loss: 0.834182, mix_dice: 1.349506, mix_ce: 0.318858
iteration 73: loss: 0.866435, mix_dice: 1.368315, mix_ce: 0.364555
iteration 74: loss: 0.827912, mix_dice: 1.329054, mix_ce: 0.326770
iteration 75: loss: 0.902210, mix_dice: 1.422887, mix_ce: 0.381532
iteration 76: loss: 0.812637, mix_dice: 1.346471, mix_ce: 0.278804
iteration 77: loss: 0.840288, mix_dice: 1.364722, mix_ce: 0.315855
  1%|▎                                | 7/910 [00:10<21:16,  1.41s/it]iteration 78: loss: 0.818181, mix_dice: 1.306647, mix_ce: 0.329714
iteration 79: loss: 0.872838, mix_dice: 1.345212, mix_ce: 0.400464
iteration 80: loss: 0.817771, mix_dice: 1.305694, mix_ce: 0.329848
iteration 81: loss: 0.824048, mix_dice: 1.306268, mix_ce: 0.341828
iteration 82: loss: 0.833051, mix_dice: 1.282863, mix_ce: 0.383239
iteration 83: loss: 0.835638, mix_dice: 1.318508, mix_ce: 0.352768
iteration 84: loss: 0.768455, mix_dice: 1.279921, mix_ce: 0.256988
iteration 85: loss: 0.900098, mix_dice: 1.400085, mix_ce: 0.400110
iteration 86: loss: 0.795946, mix_dice: 1.244266, mix_ce: 0.347626
iteration 87: loss: 0.835415, mix_dice: 1.422723, mix_ce: 0.248108
iteration 88: loss: 0.851171, mix_dice: 1.335085, mix_ce: 0.367256
  1%|▎                                | 8/910 [00:11<19:54,  1.32s/it]iteration 89: loss: 0.890577, mix_dice: 1.339494, mix_ce: 0.441661
iteration 90: loss: 0.802973, mix_dice: 1.259126, mix_ce: 0.346819
iteration 91: loss: 0.857674, mix_dice: 1.290748, mix_ce: 0.424600
iteration 92: loss: 0.783463, mix_dice: 1.276198, mix_ce: 0.290729
iteration 93: loss: 0.819712, mix_dice: 1.310813, mix_ce: 0.328610
