Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw05_ps8', gpu='0', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316460
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288517
iteration 6: loss: 1.167701, mix_dice: 1.394647, mix_ce: 0.940755
iteration 7: loss: 0.994726, mix_dice: 1.363495, mix_ce: 0.625957
iteration 8: loss: 0.925229, mix_dice: 1.386591, mix_ce: 0.463866
iteration 9: loss: 0.994952, mix_dice: 1.409453, mix_ce: 0.580451
iteration 10: loss: 0.974976, mix_dice: 1.424327, mix_ce: 0.525625
iteration 11: loss: 0.867246, mix_dice: 1.398208, mix_ce: 0.336283
  0%|                                 | 1/910 [00:02<44:09,  2.91s/it]iteration 12: loss: 0.932956, mix_dice: 1.418192, mix_ce: 0.447721
iteration 13: loss: 0.912811, mix_dice: 1.376356, mix_ce: 0.449267
iteration 14: loss: 0.871616, mix_dice: 1.384622, mix_ce: 0.358609
iteration 15: loss: 0.869242, mix_dice: 1.383828, mix_ce: 0.354655
iteration 16: loss: 0.904027, mix_dice: 1.387851, mix_ce: 0.420202
iteration 17: loss: 0.903638, mix_dice: 1.391101, mix_ce: 0.416175
iteration 18: loss: 0.878842, mix_dice: 1.369624, mix_ce: 0.388061
iteration 19: loss: 0.977765, mix_dice: 1.421905, mix_ce: 0.533625
iteration 20: loss: 0.870655, mix_dice: 1.380980, mix_ce: 0.360330
iteration 21: loss: 0.953862, mix_dice: 1.394428, mix_ce: 0.513296
iteration 22: loss: 0.877283, mix_dice: 1.395780, mix_ce: 0.358787
  0%|                                 | 2/910 [00:04<32:32,  2.15s/it]iteration 23: loss: 0.894061, mix_dice: 1.366375, mix_ce: 0.421746
iteration 24: loss: 0.931367, mix_dice: 1.387554, mix_ce: 0.475179
iteration 25: loss: 0.911558, mix_dice: 1.393919, mix_ce: 0.429197
iteration 26: loss: 0.906194, mix_dice: 1.403863, mix_ce: 0.408524
iteration 27: loss: 0.896038, mix_dice: 1.295085, mix_ce: 0.496991
iteration 28: loss: 0.968468, mix_dice: 1.361189, mix_ce: 0.575748
iteration 29: loss: 0.847032, mix_dice: 1.372527, mix_ce: 0.321538
iteration 30: loss: 0.843863, mix_dice: 1.314457, mix_ce: 0.373268
iteration 31: loss: 0.781827, mix_dice: 1.315491, mix_ce: 0.248163
iteration 32: loss: 0.906212, mix_dice: 1.435807, mix_ce: 0.376618
iteration 33: loss: 0.891371, mix_dice: 1.427145, mix_ce: 0.355597
  0%|                                 | 3/910 [00:06<28:31,  1.89s/it]iteration 34: loss: 0.900187, mix_dice: 1.442947, mix_ce: 0.357426
iteration 35: loss: 0.941327, mix_dice: 1.360291, mix_ce: 0.522363
iteration 36: loss: 0.865960, mix_dice: 1.345336, mix_ce: 0.386584
iteration 37: loss: 0.834861, mix_dice: 1.331054, mix_ce: 0.338669
iteration 38: loss: 0.939286, mix_dice: 1.322102, mix_ce: 0.556469
iteration 39: loss: 0.917191, mix_dice: 1.321870, mix_ce: 0.512513
iteration 40: loss: 0.948816, mix_dice: 1.396815, mix_ce: 0.500817
iteration 41: loss: 1.088431, mix_dice: 1.376153, mix_ce: 0.800708
iteration 42: loss: 0.913664, mix_dice: 1.346484, mix_ce: 0.480843
iteration 43: loss: 0.848925, mix_dice: 1.350244, mix_ce: 0.347606
iteration 44: loss: 0.879540, mix_dice: 1.356705, mix_ce: 0.402376
  0%|▏                                | 4/910 [00:07<27:10,  1.80s/it]iteration 45: loss: 0.867409, mix_dice: 1.290220, mix_ce: 0.444598
iteration 46: loss: 0.929690, mix_dice: 1.385727, mix_ce: 0.473653
iteration 47: loss: 0.931288, mix_dice: 1.396824, mix_ce: 0.465752
iteration 48: loss: 0.900492, mix_dice: 1.364245, mix_ce: 0.436739
iteration 49: loss: 0.913202, mix_dice: 1.305524, mix_ce: 0.520879
iteration 50: loss: 0.864283, mix_dice: 1.363935, mix_ce: 0.364631
iteration 51: loss: 0.869515, mix_dice: 1.339252, mix_ce: 0.399778
iteration 52: loss: 0.839368, mix_dice: 1.321099, mix_ce: 0.357638
iteration 53: loss: 0.850801, mix_dice: 1.325786, mix_ce: 0.375816
iteration 54: loss: 0.866527, mix_dice: 1.332246, mix_ce: 0.400809
iteration 55: loss: 0.909198, mix_dice: 1.389596, mix_ce: 0.428800
  1%|▏                                | 5/910 [00:09<26:00,  1.72s/it]iteration 56: loss: 0.824160, mix_dice: 1.250935, mix_ce: 0.397386
iteration 57: loss: 0.839436, mix_dice: 1.310460, mix_ce: 0.368413
iteration 58: loss: 0.856029, mix_dice: 1.383519, mix_ce: 0.328539
iteration 59: loss: 0.803394, mix_dice: 1.299839, mix_ce: 0.306949
iteration 60: loss: 0.867806, mix_dice: 1.359491, mix_ce: 0.376122
iteration 61: loss: 0.860521, mix_dice: 1.337253, mix_ce: 0.383789
iteration 62: loss: 0.901193, mix_dice: 1.345407, mix_ce: 0.456980
iteration 63: loss: 0.840197, mix_dice: 1.322363, mix_ce: 0.358031
iteration 64: loss: 0.791534, mix_dice: 1.286242, mix_ce: 0.296826
iteration 65: loss: 0.811352, mix_dice: 1.300595, mix_ce: 0.322110
iteration 66: loss: 0.802440, mix_dice: 1.247276, mix_ce: 0.357605
  1%|▏                                | 6/910 [00:11<26:29,  1.76s/it]iteration 67: loss: 0.822849, mix_dice: 1.345724, mix_ce: 0.299973
iteration 68: loss: 0.794609, mix_dice: 1.276583, mix_ce: 0.312635
iteration 69: loss: 0.807953, mix_dice: 1.300640, mix_ce: 0.315265
iteration 70: loss: 0.893035, mix_dice: 1.328338, mix_ce: 0.457732
iteration 71: loss: 0.777539, mix_dice: 1.279876, mix_ce: 0.275203
iteration 72: loss: 0.844407, mix_dice: 1.354969, mix_ce: 0.333845
iteration 73: loss: 0.879819, mix_dice: 1.374680, mix_ce: 0.384958
iteration 74: loss: 0.824888, mix_dice: 1.325623, mix_ce: 0.324154
iteration 75: loss: 0.894982, mix_dice: 1.412053, mix_ce: 0.377912
iteration 76: loss: 0.812202, mix_dice: 1.350554, mix_ce: 0.273850
iteration 77: loss: 0.854407, mix_dice: 1.385614, mix_ce: 0.323199
  1%|▎                                | 7/910 [00:13<26:57,  1.79s/it]iteration 78: loss: 0.808097, mix_dice: 1.309598, mix_ce: 0.306595
iteration 79: loss: 0.877842, mix_dice: 1.354787, mix_ce: 0.400897
iteration 80: loss: 0.800689, mix_dice: 1.306550, mix_ce: 0.294828
iteration 81: loss: 0.805898, mix_dice: 1.308104, mix_ce: 0.303692
iteration 82: loss: 0.847928, mix_dice: 1.289653, mix_ce: 0.406202
iteration 83: loss: 0.838965, mix_dice: 1.317467, mix_ce: 0.360462
iteration 84: loss: 0.773483, mix_dice: 1.273159, mix_ce: 0.273806
iteration 85: loss: 0.877492, mix_dice: 1.367027, mix_ce: 0.387957
iteration 86: loss: 0.779725, mix_dice: 1.214521, mix_ce: 0.344929
iteration 87: loss: 0.843696, mix_dice: 1.433599, mix_ce: 0.253793
iteration 88: loss: 0.846637, mix_dice: 1.332847, mix_ce: 0.360427
  1%|▎                                | 8/910 [00:14<26:50,  1.79s/it]iteration 89: loss: 0.948119, mix_dice: 1.391734, mix_ce: 0.504504
iteration 90: loss: 0.789609, mix_dice: 1.259355, mix_ce: 0.319862
iteration 91: loss: 0.848520, mix_dice: 1.299726, mix_ce: 0.397315
iteration 92: loss: 0.774736, mix_dice: 1.275937, mix_ce: 0.273534
iteration 93: loss: 0.818765, mix_dice: 1.309716, mix_ce: 0.327814
